stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location
1188,1188,Winnebago at Atwood,This stop (#1188) is southbound on the 1998 block of Winnebago after Atwood,43.091791,-89.355523,MMT,CMAD,0,,1,180,1,Winnebago,1998,Atwood
1190,1190,Jenifer at S Brearly,This stop (#1190) is westbound on the 1000 block of Jenifer before S Brearly,43.080238,-89.367028,MMT,CMAD,0,,3,270,1,Jenifer,1000,S Brearly
1194,1194,Jenifer at S Livingston,This stop (#1194) is westbound on the 800 block of Jenifer before S Livingston,43.077751,-89.370536,MMT,CMAD,0,,3,270,1,Jenifer,800,S Livingston
1199,1199,E Washington at S Ingersoll,This stop (#1199) is eastbound on the 1101 block of E Washington after S Ingersoll,43.084904,-89.369296,MMT,CMAD,0,,1,90,1,E Washington,1101,S Ingersoll
1206,1206,Milwaukee at Leon,This stop (#1206) is westbound on the 3468 block of Milwaukee after Leon,43.098597,-89.329459,MMT,CMAD,0,,1,270,1,Milwaukee,3468,Leon
1208,1208,Williamson at Rogers,This stop (#1208) is westbound on the 1500 block of Williamson before Rogers,43.087361,-89.359231,MMT,CMAD,0,,3,270,1,Williamson,1500,Rogers
1209,1209,E Johnson at N Ingersoll,This stop (#1209) is eastbound on the 1101 block of E Johnson after N Ingersoll,43.08708,-89.372246,MMT,CMAD,0,,1,90,1,E Johnson,1101,N Ingersoll
1213,1213,Williamson at S Dickinson,This stop (#1213) is eastbound on the 1401 block of Williamson after S Dickinson,43.085884,-89.360418,MMT,CMAD,0,,1,90,1,Williamson,1401,S Dickinson
1216,1216,Aberg at Packers,This stop (#1216) is westbound on the 2198 block of Aberg before Packers,43.113744,-89.354797,MMT,CMAD,0,,3,270,1,Aberg,2198,Packers
1219,1219,Atwood at Waubesa,This stop (#1219) is eastbound on the 2799 block of Atwood before Waubesa,43.093781,-89.343728,MMT,CMAD,0,,3,90,1,Atwood,2799,Waubesa
1220,1220,Milwaukee at N Bryan,This stop (#1220) is westbound on the 3200 block of Milwaukee before N Bryan,43.099882,-89.335459,MMT,CMAD,0,,3,270,1,Milwaukee,3200,N Bryan
1225,1225,Walter at Atwood,This stop (#1225) is northbound on the 533 block of Walter after Atwood,43.089689,-89.329138,MMT,CMAD,0,,1,0,1,Walter,533,Atwood
1227,1227,E Johnson at N Butler,This stop (#1227) is eastbound on the 301 block of E Johnson after N Butler,43.079045,-89.383684,MMT,CMAD,0,,1,90,1,E Johnson,301,N Butler
1230,1230,E Wilson at S Butler,This stop (#1230) is westbound on the 298 block of E Wilson after S Butler,43.074504,-89.378773,MMT,CMAD,0,,1,270,1,E Wilson,298,S Butler
1241,1241,E Washington at S First,This stop (#1241) is eastbound on the 1899 block of E Washington before S First,43.092008,-89.359239,MMT,CMAD,0,,3,90,1,E Washington,1899,S First
1250,1250,E Gorham at N Baldwin,This stop (#1250) is westbound on the 1298 block of E Gorham after N Baldwin,43.089497,-89.369614,MMT,CMAD,0,,1,270,1,E Gorham,1298,N Baldwin
1254,1254,N Sherman at Roth,This stop (#1254) is southbound on the 1100 block of N Sherman before Roth,43.11228,-89.363964,MMT,CMAD,0,,3,180,1,N Sherman,1100,Roth
1267,1267,E Johnson at N Dickinson,This stop (#1267) is eastbound on the 1401 block of E Johnson after N Dickinson,43.090856,-89.366921,MMT,CMAD,0,,1,90,1,E Johnson,1401,N Dickinson
1269,1269,E Washington at E Johnson,This stop (#1269) is eastbound on the 2901 block of E Washington after E Johnson,43.10286,-89.344607,MMT,CMAD,0,,1,90,1,E Washington,2901,E Johnson
1270,1270,Walter at Milwaukee,This stop (#1270) is southbound on the 2 block of Walter after Milwaukee,43.097852,-89.326706,MMT,CMAD,0,,1,180,1,Walter,2,Milwaukee
1280,1280,E Washington at E Johnson,This stop (#1280) is westbound on the 2898 block of E Washington after E Johnson,43.102878,-89.345545,MMT,CMAD,0,,1,270,1,E Washington,2898,E Johnson
1290,1290,Aberg at N Sherman,This stop (#1290) is westbound on the 1700 block of Aberg before N Sherman,43.114339,-89.363604,MMT,CMAD,0,,3,270,1,Aberg,1700,N Sherman
1293,1293,Milwaukee at E Washington,This stop (#1293) is eastbound on the 2601 block of Milwaukee after E Washington,43.100087,-89.348302,MMT,CMAD,0,,1,90,1,Milwaukee,2601,E Washington
1301,1301,North at E Washington,This stop (#1301) is northbound on the 1 block of North after E Washington,43.100875,-89.349067,MMT,CMAD,0,,1,0,1,North,1,E Washington
1309,1309,Milwaukee at Leon,This stop (#1309) is eastbound on the 3470 block of Milwaukee after Leon,43.098248,-89.329213,MMT,CMAD,0,,1,90,1,Milwaukee,3470,Leon
1311,1311,E Washington at Milwaukee,This stop (#1311) is eastbound on the 2601 block of E Washington after Milwaukee,43.100534,-89.348327,MMT,CMAD,0,,1,90,1,E Washington,2601,Milwaukee
1319,1319,E Johnson at N Seventh,This stop (#1319) is eastbound on the 2499 block of E Johnson before N Seventh,43.10145,-89.352512,MMT,CMAD,0,,3,90,0,E Johnson,2499,N Seventh
1321,1321,Atwood at S Fair Oaks,This stop (#1321) is eastbound on the 3001 block of Atwood after S Fair Oaks,43.093582,-89.340691,MMT,CMAD,0,,1,90,1,Atwood,3001,S Fair Oaks
